Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=A41F814374A17B893E6A6E7E57B7A722?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=04-01-2009&end=07-12-2021&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US,EA and BG,CZ,HU,PL,RO,CN,HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2015-07-26,-,Missing value; data cannot exist (M)
2015-07-25,-,Missing value; data cannot exist (M)
2015-07-24,91.3773,Normal value (A)
2015-07-23,91.4803,Normal value (A)
2015-07-22,90.8606,Normal value (A)
2015-07-21,90.7029,Normal value (A)
2015-07-20,90.6075,Normal value (A)
2015-07-19,-,Missing value; data cannot exist (M)
2015-07-18,-,Missing value; data cannot exist (M)
2015-07-17,90.7212,Normal value (A)
2015-07-16,90.6072,Normal value (A)
2015-07-15,91.3718,Normal value (A)
2015-07-14,91.5784,Normal value (A)
2015-07-13,91.7091,Normal value (A)
2015-07-12,-,Missing value; data cannot exist (M)
2015-07-11,-,Missing value; data cannot exist (M)
2015-07-10,92.4695,Normal value (A)
2015-07-09,91.9316,Normal value (A)
2015-07-08,91.8517,Normal value (A)
2015-07-07,91.1538,Normal value (A)
2015-07-06,91.4963,Normal value (A)
2015-07-05,-,Missing value; data cannot exist (M)
2015-07-04,-,Missing value; data cannot exist (M)
2015-07-03,91.9073,Normal value (A)
2015-07-02,91.8242,Normal value (A)
2015-07-01,91.7944,Normal value (A)
2015-06-30,92.1289,Normal value (A)
2015-06-29,91.8731,Normal value (A)
2015-06-28,-,Missing value; data cannot exist (M)
2015-06-27,-,Missing value; data cannot exist (M)
2015-06-26,92.2846,Normal value (A)
2015-06-25,92.2698,Normal value (A)
2015-06-24,92.2235,Normal value (A)
2015-06-23,92.1268,Normal value (A)
2015-06-22,92.8148,Normal value (A)
2015-06-21,-,Missing value; data cannot exist (M)
2015-06-20,-,Missing value; data cannot exist (M)
2015-06-19,92.6210,Normal value (A)
2015-06-18,93.0692,Normal value (A)
2015-06-17,92.6538,Normal value (A)
2015-06-16,92.3722,Normal value (A)
2015-06-15,92.5387,Normal value (A)
2015-06-14,-,Missing value; data cannot exist (M)
2015-06-13,-,Missing value; data cannot exist (M)
2015-06-12,92.5276,Normal value (A)
2015-06-11,92.6747,Normal value (A)
2015-06-10,92.8822,Normal value (A)
2015-06-09,92.9970,Normal value (A)
2015-06-08,92.6557,Normal value (A)
2015-06-07,-,Missing value; data cannot exist (M)
2015-06-06,-,Missing value; data cannot exist (M)
2015-06-05,92.7830,Normal value (A)
2015-06-04,93.3094,Normal value (A)
2015-06-03,92.2236,Normal value (A)
2015-06-02,91.7110,Normal value (A)
2015-06-01,91.1755,Normal value (A)
2015-05-31,-,Missing value; data cannot exist (M)
2015-05-30,-,Missing value; data cannot exist (M)
2015-05-29,91.2221,Normal value (A)
2015-05-28,90.7620,Normal value (A)
2015-05-27,90.4599,Normal value (A)
2015-05-26,90.7080,Normal value (A)
2015-05-25,90.8189,Normal value (A)
2015-05-24,-,Missing value; data cannot exist (M)
2015-05-23,-,Missing value; data cannot exist (M)
2015-05-22,91.6536,Normal value (A)
2015-05-21,91.4390,Normal value (A)
2015-05-20,91.4896,Normal value (A)
2015-05-19,91.7926,Normal value (A)
2015-05-18,92.8423,Normal value (A)
2015-05-17,-,Missing value; data cannot exist (M)
2015-05-16,-,Missing value; data cannot exist (M)
2015-05-15,92.4517,Normal value (A)
2015-05-14,92.8312,Normal value (A)
2015-05-13,91.9166,Normal value (A)
2015-05-12,92.0358,Normal value (A)
2015-05-11,91.6126,Normal value (A)
2015-05-10,-,Missing value; data cannot exist (M)
2015-05-09,-,Missing value; data cannot exist (M)
2015-05-08,92.0965,Normal value (A)
2015-05-07,92.6143,Normal value (A)
2015-05-06,92.2195,Normal value (A)
2015-05-05,91.6920,Normal value (A)
2015-05-04,92.0021,Normal value (A)
2015-05-03,-,Missing value; data cannot exist (M)
2015-05-02,-,Missing value; data cannot exist (M)
2015-05-01,-,Missing value; data cannot exist (M)
2015-04-30,91.9091,Normal value (A)
2015-04-29,90.7467,Normal value (A)
2015-04-28,90.4059,Normal value (A)
2015-04-27,90.0214,Normal value (A)
2015-04-26,-,Missing value; data cannot exist (M)
2015-04-25,-,Missing value; data cannot exist (M)
2015-04-24,89.9895,Normal value (A)
2015-04-23,89.9013,Normal value (A)
2015-04-22,89.5379,Normal value (A)
2015-04-21,89.3729,Normal value (A)
2015-04-20,89.5418,Normal value (A)
2015-04-19,-,Missing value; data cannot exist (M)
2015-04-18,-,Missing value; data cannot exist (M)
2015-04-17,89.9553,Normal value (A)
2015-04-16,89.5767,Normal value (A)
2015-04-15,89.0485,Normal value (A)
2015-04-14,89.1119,Normal value (A)
2015-04-13,89.1600,Normal value (A)
2015-04-12,-,Missing value; data cannot exist (M)
2015-04-11,-,Missing value; data cannot exist (M)
2015-04-10,89.2815,Normal value (A)
2015-04-09,90.1870,Normal value (A)
2015-04-08,90.5352,Normal value (A)
2015-04-07,90.6517,Normal value (A)
2015-04-06,-,Missing value; data cannot exist (M)
2015-04-05,-,Missing value; data cannot exist (M)
2015-04-04,-,Missing value; data cannot exist (M)
2015-04-03,-,Missing value; data cannot exist (M)
2015-04-02,90.6276,Normal value (A)
2015-04-01,90.2679,Normal value (A)
2015-03-31,90.3670,Normal value (A)
2015-03-30,90.8394,Normal value (A)
2015-03-29,-,Missing value; data cannot exist (M)
2015-03-28,-,Missing value; data cannot exist (M)
2015-03-27,90.8248,Normal value (A)
2015-03-26,91.4046,Normal value (A)
2015-03-25,91.4488,Normal value (A)
2015-03-24,91.2909,Normal value (A)
2015-03-23,91.2176,Normal value (A)
2015-03-22,-,Missing value; data cannot exist (M)
2015-03-21,-,Missing value; data cannot exist (M)
2015-03-20,90.6331,Normal value (A)
2015-03-19,90.0387,Normal value (A)
2015-03-18,90.0034,Normal value (A)
2015-03-17,90.0826,Normal value (A)
2015-03-16,89.5925,Normal value (A)
2015-03-15,-,Missing value; data cannot exist (M)
2015-03-14,-,Missing value; data cannot exist (M)
2015-03-13,89.7712,Normal value (A)
2015-03-12,89.6733,Normal value (A)
2015-03-11,89.5019,Normal value (A)
2015-03-10,90.4478,Normal value (A)
2015-03-09,90.9733,Normal value (A)
2015-03-08,-,Missing value; data cannot exist (M)
2015-03-07,-,Missing value; data cannot exist (M)
2015-03-06,91.3612,Normal value (A)
2015-03-05,91.9951,Normal value (A)
2015-03-04,92.3091,Normal value (A)
2015-03-03,92.5491,Normal value (A)
2015-03-02,92.8670,Normal value (A)
2015-03-01,-,Missing value; data cannot exist (M)
2015-02-28,-,Missing value; data cannot exist (M)
2015-02-27,92.7723,Normal value (A)
2015-02-26,93.1762,Normal value (A)
2015-02-25,93.4483,Normal value (A)
2015-02-24,93.5131,Normal value (A)
2015-02-23,93.3832,Normal value (A)
2015-02-22,-,Missing value; data cannot exist (M)
2015-02-21,-,Missing value; data cannot exist (M)
2015-02-20,93.3111,Normal value (A)
2015-02-19,93.8387,Normal value (A)
2015-02-18,93.7628,Normal value (A)
2015-02-17,93.9484,Normal value (A)
2015-02-16,93.8917,Normal value (A)
2015-02-15,-,Missing value; data cannot exist (M)
2015-02-14,-,Missing value; data cannot exist (M)
2015-02-13,93.6892,Normal value (A)
2015-02-12,93.5543,Normal value (A)
2015-02-11,93.4178,Normal value (A)
2015-02-10,93.2629,Normal value (A)
2015-02-09,93.1095,Normal value (A)
2015-02-08,-,Missing value; data cannot exist (M)
2015-02-07,-,Missing value; data cannot exist (M)
2015-02-06,93.8889,Normal value (A)
2015-02-05,93.8366,Normal value (A)
2015-02-04,94.0544,Normal value (A)
2015-02-03,93.8272,Normal value (A)
2015-02-02,93.5575,Normal value (A)
2015-02-01,-,Missing value; data cannot exist (M)
2015-01-31,-,Missing value; data cannot exist (M)
2015-01-30,93.5425,Normal value (A)
2015-01-29,93.4320,Normal value (A)
2015-01-28,93.3807,Normal value (A)
2015-01-27,93.1529,Normal value (A)
2015-01-26,92.8367,Normal value (A)
2015-01-25,-,Missing value; data cannot exist (M)
2015-01-24,-,Missing value; data cannot exist (M)
2015-01-23,92.3925,Normal value (A)
2015-01-22,94.7247,Normal value (A)
2015-01-21,94.6587,Normal value (A)
2015-01-20,94.6978,Normal value (A)
2015-01-19,94.8056,Normal value (A)
2015-01-18,-,Missing value; data cannot exist (M)
2015-01-17,-,Missing value; data cannot exist (M)
2015-01-16,94.6141,Normal value (A)
2015-01-15,95.2632,Normal value (A)
2015-01-14,97.0250,Normal value (A)
2015-01-13,97.1394,Normal value (A)
2015-01-12,97.3214,Normal value (A)
2015-01-11,-,Missing value; data cannot exist (M)
2015-01-10,-,Missing value; data cannot exist (M)
2015-01-09,97.3280,Normal value (A)
2015-01-08,97.1962,Normal value (A)
2015-01-07,97.5314,Normal value (A)
2015-01-06,97.8769,Normal value (A)
2015-01-05,97.9483,Normal value (A)
2015-01-04,-,Missing value; data cannot exist (M)
2015-01-03,-,Missing value; data cannot exist (M)
2015-01-02,98.3920,Normal value (A)
2015-01-01,-,Missing value; data cannot exist (M)
2014-12-31,98.5683,Normal value (A)
2014-12-30,98.8155,Normal value (A)
2014-12-29,99.1567,Normal value (A)
2014-12-28,-,Missing value; data cannot exist (M)
2014-12-27,-,Missing value; data cannot exist (M)
2014-12-26,-,Missing value; data cannot exist (M)
2014-12-25,-,Missing value; data cannot exist (M)
2014-12-24,99.2818,Normal value (A)
2014-12-23,99.1790,Normal value (A)
2014-12-22,99.3057,Normal value (A)
2014-12-21,-,Missing value; data cannot exist (M)
2014-12-20,-,Missing value; data cannot exist (M)
2014-12-19,99.3328,Normal value (A)
2014-12-18,99.2926,Normal value (A)
2014-12-17,99.9910,Normal value (A)
2014-12-16,100.3408,Normal value (A)
2014-12-15,99.8060,Normal value (A)
2014-12-14,-,Missing value; data cannot exist (M)
2014-12-13,-,Missing value; data cannot exist (M)
2014-12-12,99.8093,Normal value (A)
2014-12-11,99.6936,Normal value (A)
2014-12-10,99.3903,Normal value (A)
2014-12-09,99.3521,Normal value (A)
2014-12-08,98.8208,Normal value (A)
2014-12-07,-,Missing value; data cannot exist (M)
2014-12-06,-,Missing value; data cannot exist (M)
2014-12-05,99.2293,Normal value (A)
2014-12-04,98.9271,Normal value (A)
2014-12-03,98.9226,Normal value (A)
2014-12-02,99.4831,Normal value (A)
2014-12-01,99.6162,Normal value (A)
2014-11-30,-,Missing value; data cannot exist (M)
2014-11-29,-,Missing value; data cannot exist (M)
2014-11-28,99.7002,Normal value (A)
2014-11-27,99.4841,Normal value (A)
2014-11-26,99.4656,Normal value (A)
2014-11-25,99.3172,Normal value (A)
2014-11-24,99.2358,Normal value (A)
2014-11-23,-,Missing value; data cannot exist (M)
2014-11-22,-,Missing value; data cannot exist (M)
2014-11-21,99.2299,Normal value (A)
2014-11-20,99.9461,Normal value (A)
2014-11-19,99.8932,Normal value (A)
2014-11-18,99.6773,Normal value (A)
2014-11-17,99.6068,Normal value (A)
2014-11-16,-,Missing value; data cannot exist (M)
2014-11-15,-,Missing value; data cannot exist (M)
2014-11-14,99.3363,Normal value (A)
2014-11-13,99.2537,Normal value (A)
2014-11-12,99.2128,Normal value (A)
2014-11-11,98.9856,Normal value (A)
2014-11-10,99.1240,Normal value (A)
2014-11-09,-,Missing value; data cannot exist (M)
2014-11-08,-,Missing value; data cannot exist (M)
2014-11-07,98.9056,Normal value (A)
2014-11-06,99.3869,Normal value (A)
2014-11-05,99.2586,Normal value (A)
2014-11-04,99.2510,Normal value (A)
2014-11-03,99.0986,Normal value (A)
2014-11-02,-,Missing value; data cannot exist (M)
2014-11-01,-,Missing value; data cannot exist (M)
2014-10-31,99.1910,Normal value (A)
2014-10-30,99.3434,Normal value (A)
2014-10-29,99.9449,Normal value (A)
2014-10-28,99.9574,Normal value (A)
2014-10-27,99.6243,Normal value (A)
2014-10-26,-,Missing value; data cannot exist (M)
2014-10-25,-,Missing value; data cannot exist (M)
2014-10-24,99.5421,Normal value (A)
2014-10-23,99.6087,Normal value (A)
2014-10-22,99.6594,Normal value (A)
2014-10-21,99.9175,Normal value (A)
2014-10-20,100.0183,Normal value (A)
2014-10-19,-,Missing value; data cannot exist (M)
2014-10-18,-,Missing value; data cannot exist (M)
2014-10-17,100.2921,Normal value (A)
2014-10-16,100.0670,Normal value (A)
2014-10-15,99.6974,Normal value (A)
2014-10-14,99.5366,Normal value (A)
2014-10-13,99.4818,Normal value (A)
2014-10-12,-,Missing value; data cannot exist (M)
2014-10-11,-,Missing value; data cannot exist (M)
2014-10-10,99.4154,Normal value (A)
2014-10-09,99.7995,Normal value (A)
2014-10-08,99.4903,Normal value (A)
2014-10-07,99.1993,Normal value (A)
2014-10-06,99.1140,Normal value (A)
2014-10-05,-,Missing value; data cannot exist (M)
2014-10-04,-,Missing value; data cannot exist (M)
2014-10-03,99.2726,Normal value (A)
2014-10-02,99.2522,Normal value (A)
2014-10-01,99.1412,Normal value (A)
2014-09-30,99.0149,Normal value (A)
2014-09-29,99.6885,Normal value (A)
2014-09-28,-,Missing value; data cannot exist (M)
2014-09-27,-,Missing value; data cannot exist (M)
2014-09-26,99.6157,Normal value (A)
2014-09-25,99.5346,Normal value (A)
2014-09-24,99.9645,Normal value (A)
2014-09-23,100.2930,Normal value (A)
2014-09-22,100.1828,Normal value (A)
2014-09-21,-,Missing value; data cannot exist (M)
2014-09-20,-,Missing value; data cannot exist (M)
2014-09-19,100.1744,Normal value (A)
2014-09-18,100.3639,Normal value (A)
2014-09-17,100.7568,Normal value (A)
2014-09-16,100.8469,Normal value (A)
2014-09-15,100.6467,Normal value (A)
2014-09-14,-,Missing value; data cannot exist (M)
2014-09-13,-,Missing value; data cannot exist (M)
2014-09-12,100.7062,Normal value (A)
2014-09-11,100.6413,Normal value (A)
2014-09-10,100.7314,Normal value (A)
2014-09-09,100.5564,Normal value (A)
2014-09-08,100.6288,Normal value (A)
2014-09-07,-,Missing value; data cannot exist (M)
2014-09-06,-,Missing value; data cannot exist (M)
2014-09-05,100.4790,Normal value (A)
2014-09-04,100.6554,Normal value (A)
2014-09-03,101.3845,Normal value (A)
2014-09-02,101.2129,Normal value (A)
2014-09-01,101.1060,Normal value (A)
2014-08-31,-,Missing value; data cannot exist (M)
2014-08-30,-,Missing value; data cannot exist (M)
2014-08-29,101.4229,Normal value (A)
2014-08-28,101.3595,Normal value (A)
2014-08-27,101.3098,Normal value (A)
2014-08-26,101.4945,Normal value (A)
2014-08-25,101.4970,Normal value (A)
2014-08-24,-,Missing value; data cannot exist (M)
2014-08-23,-,Missing value; data cannot exist (M)
2014-08-22,101.8761,Normal value (A)
2014-08-21,101.8852,Normal value (A)
2014-08-20,101.8874,Normal value (A)
2014-08-19,102.2230,Normal value (A)
2014-08-18,102.2931,Normal value (A)
2014-08-17,-,Missing value; data cannot exist (M)
2014-08-16,-,Missing value; data cannot exist (M)
2014-08-15,102.3509,Normal value (A)
2014-08-14,102.2961,Normal value (A)
2014-08-13,102.2985,Normal value (A)
2014-08-12,102.1824,Normal value (A)
2014-08-11,102.3732,Normal value (A)
2014-08-10,-,Missing value; data cannot exist (M)
2014-08-09,-,Missing value; data cannot exist (M)
2014-08-08,102.4004,Normal value (A)
2014-08-07,102.3417,Normal value (A)
2014-08-06,102.2456,Normal value (A)
2014-08-05,102.3428,Normal value (A)
2014-08-04,102.5937,Normal value (A)
2014-08-03,-,Missing value; data cannot exist (M)
2014-08-02,-,Missing value; data cannot exist (M)
2014-08-01,102.5185,Normal value (A)
2014-07-31,102.2900,Normal value (A)
2014-07-30,102.2066,Normal value (A)
2014-07-29,102.2900,Normal value (A)
2014-07-28,102.2174,Normal value (A)
2014-07-27,-,Missing value; data cannot exist (M)
2014-07-26,-,Missing value; data cannot exist (M)
2014-07-25,102.2935,Normal value (A)
2014-07-24,102.4399,Normal value (A)
2014-07-23,102.3413,Normal value (A)
2014-07-22,102.5249,Normal value (A)
2014-07-21,102.7157,Normal value (A)
2014-07-20,-,Missing value; data cannot exist (M)
2014-07-19,-,Missing value; data cannot exist (M)
2014-07-18,102.7178,Normal value (A)
2014-07-17,102.7159,Normal value (A)
2014-07-16,102.7429,Normal value (A)
2014-07-15,103.0863,Normal value (A)
2014-07-14,103.1735,Normal value (A)
2014-07-13,-,Missing value; data cannot exist (M)
2014-07-12,-,Missing value; data cannot exist (M)
2014-07-11,102.9640,Normal value (A)
2014-07-10,103.0074,Normal value (A)
2014-07-09,103.0081,Normal value (A)
2014-07-08,102.9472,Normal value (A)
2014-07-07,103.0077,Normal value (A)
2014-07-06,-,Missing value; data cannot exist (M)
2014-07-05,-,Missing value; data cannot exist (M)
2014-07-04,102.9694,Normal value (A)
2014-07-03,103.3202,Normal value (A)
2014-07-02,103.2111,Normal value (A)
2014-07-01,103.3839,Normal value (A)
2014-06-30,103.3490,Normal value (A)
2014-06-29,-,Missing value; data cannot exist (M)
2014-06-28,-,Missing value; data cannot exist (M)
2014-06-27,103.2096,Normal value (A)
2014-06-26,103.1693,Normal value (A)
2014-06-25,103.3250,Normal value (A)
2014-06-24,103.2755,Normal value (A)
2014-06-23,103.1072,Normal value (A)
2014-06-22,-,Missing value; data cannot exist (M)
2014-06-21,-,Missing value; data cannot exist (M)
2014-06-20,103.1061,Normal value (A)
2014-06-19,103.2053,Normal value (A)
2014-06-18,103.0244,Normal value (A)
2014-06-17,102.9788,Normal value (A)
2014-06-16,102.7707,Normal value (A)
2014-06-15,-,Missing value; data cannot exist (M)
2014-06-14,-,Missing value; data cannot exist (M)
2014-06-13,102.7171,Normal value (A)
2014-06-12,102.8062,Normal value (A)
2014-06-11,102.9924,Normal value (A)
2014-06-10,103.0004,Normal value (A)
2014-06-09,103.3346,Normal value (A)
2014-06-08,-,Missing value; data cannot exist (M)
2014-06-07,-,Missing value; data cannot exist (M)
2014-06-06,103.5634,Normal value (A)
2014-06-05,103.2870,Normal value (A)
2014-06-04,103.6746,Normal value (A)
2014-06-03,103.7901,Normal value (A)
2014-06-02,103.5441,Normal value (A)
2014-06-01,-,Missing value; data cannot exist (M)
2014-05-31,-,Missing value; data cannot exist (M)
2014-05-30,103.4803,Normal value (A)
2014-05-29,103.4760,Normal value (A)
2014-05-28,103.5331,Normal value (A)
2014-05-27,103.6147,Normal value (A)
2014-05-26,103.5271,Normal value (A)
2014-05-25,-,Missing value; data cannot exist (M)
2014-05-24,-,Missing value; data cannot exist (M)
2014-05-23,103.5363,Normal value (A)
2014-05-22,103.6857,Normal value (A)
2014-05-21,103.7136,Normal value (A)
2014-05-20,103.9538,Normal value (A)
2014-05-19,103.9821,Normal value (A)
2014-05-18,-,Missing value; data cannot exist (M)
2014-05-17,-,Missing value; data cannot exist (M)
2014-05-16,103.9075,Normal value (A)
2014-05-15,103.7276,Normal value (A)
2014-05-14,104.0267,Normal value (A)
2014-05-13,103.8904,Normal value (A)
2014-05-12,104.1744,Normal value (A)
2014-05-11,-,Missing value; data cannot exist (M)
2014-05-10,-,Missing value; data cannot exist (M)
2014-05-09,104.2201,Normal value (A)
2014-05-08,105.0514,Normal value (A)
2014-05-07,104.9724,Normal value (A)
2014-05-06,105.0666,Normal value (A)
2014-05-05,104.9522,Normal value (A)
2014-05-04,-,Missing value; data cannot exist (M)
2014-05-03,-,Missing value; data cannot exist (M)
2014-05-02,104.9106,Normal value (A)
2014-05-01,-,Missing value; data cannot exist (M)
2014-04-30,104.9663,Normal value (A)
2014-04-29,104.8436,Normal value (A)
2014-04-28,104.9991,Normal value (A)
2014-04-27,-,Missing value; data cannot exist (M)
2014-04-26,-,Missing value; data cannot exist (M)
2014-04-25,104.9025,Normal value (A)
2014-04-24,104.8391,Normal value (A)
2014-04-23,104.8703,Normal value (A)
2014-04-22,104.7378,Normal value (A)
2014-04-21,-,Missing value; data cannot exist (M)
2014-04-20,-,Missing value; data cannot exist (M)
2014-04-19,-,Missing value; data cannot exist (M)
2014-04-18,-,Missing value; data cannot exist (M)
2014-04-17,104.8778,Normal value (A)
2014-04-16,104.8106,Normal value (A)
2014-04-15,104.6378,Normal value (A)
2014-04-14,104.7511,Normal value (A)
2014-04-13,-,Missing value; data cannot exist (M)
2014-04-12,-,Missing value; data cannot exist (M)
2014-04-11,104.9175,Normal value (A)
2014-04-10,104.8009,Normal value (A)
2014-04-09,104.4173,Normal value (A)
2014-04-08,104.3902,Normal value (A)
2014-04-07,104.4262,Normal value (A)
2014-04-06,-,Missing value; data cannot exist (M)
2014-04-05,-,Missing value; data cannot exist (M)
2014-04-04,104.3546,Normal value (A)
2014-04-03,104.7158,Normal value (A)
2014-04-02,104.7009,Normal value (A)
2014-04-01,104.7069,Normal value (A)
2014-03-31,104.7454,Normal value (A)
2014-03-30,-,Missing value; data cannot exist (M)
2014-03-29,-,Missing value; data cannot exist (M)
2014-03-28,104.5617,Normal value (A)
2014-03-27,104.6193,Normal value (A)
2014-03-26,104.9363,Normal value (A)
2014-03-25,104.9340,Normal value (A)
2014-03-24,104.8836,Normal value (A)
2014-03-23,-,Missing value; data cannot exist (M)
2014-03-22,-,Missing value; data cannot exist (M)
2014-03-21,105.0316,Normal value (A)
2014-03-20,104.9926,Normal value (A)
2014-03-19,105.3524,Normal value (A)
2014-03-18,105.3160,Normal value (A)
2014-03-17,105.3029,Normal value (A)
2014-03-16,-,Missing value; data cannot exist (M)
2014-03-15,-,Missing value; data cannot exist (M)
2014-03-14,105.1654,Normal value (A)
2014-03-13,105.3336,Normal value (A)
2014-03-12,105.2233,Normal value (A)
2014-03-11,104.9669,Normal value (A)
2014-03-10,105.1113,Normal value (A)
2014-03-09,-,Missing value; data cannot exist (M)
2014-03-08,-,Missing value; data cannot exist (M)
2014-03-07,104.8965,Normal value (A)
2014-03-06,104.1755,Normal value (A)
2014-03-05,104.1434,Normal value (A)
2014-03-04,104.3883,Normal value (A)
2014-03-03,104.3465,Normal value (A)
2014-03-02,-,Missing value; data cannot exist (M)
2014-03-01,-,Missing value; data cannot exist (M)
2014-02-28,104.5364,Normal value (A)
2014-02-27,103.8192,Normal value (A)
2014-02-26,104.1515,Normal value (A)
2014-02-25,104.2571,Normal value (A)
2014-02-24,104.1727,Normal value (A)
2014-02-23,-,Missing value; data cannot exist (M)
2014-02-22,-,Missing value; data cannot exist (M)
2014-02-21,104.0664,Normal value (A)
2014-02-20,104.0448,Normal value (A)
2014-02-19,104.1373,Normal value (A)
2014-02-18,103.9842,Normal value (A)
2014-02-17,103.6316,Normal value (A)
2014-02-16,-,Missing value; data cannot exist (M)
2014-02-15,-,Missing value; data cannot exist (M)
2014-02-14,103.7250,Normal value (A)
2014-02-13,103.7090,Normal value (A)
2014-02-12,103.2649,Normal value (A)
2014-02-11,103.9255,Normal value (A)
2014-02-10,103.8285,Normal value (A)
2014-02-09,-,Missing value; data cannot exist (M)
2014-02-08,-,Missing value; data cannot exist (M)
2014-02-07,103.6112,Normal value (A)
2014-02-06,103.1310,Normal value (A)
2014-02-05,103.4087,Normal value (A)
2014-02-04,103.3263,Normal value (A)
2014-02-03,103.3302,Normal value (A)
2014-02-02,-,Missing value; data cannot exist (M)
2014-02-01,-,Missing value; data cannot exist (M)
2014-01-31,103.3939,Normal value (A)
2014-01-30,103.6549,Normal value (A)
2014-01-29,103.6378,Normal value (A)
2014-01-28,103.7859,Normal value (A)
2014-01-27,103.8464,Normal value (A)
2014-01-26,-,Missing value; data cannot exist (M)
2014-01-25,-,Missing value; data cannot exist (M)
2014-01-24,104.0772,Normal value (A)
2014-01-23,103.7116,Normal value (A)
2014-01-22,103.3497,Normal value (A)
2014-01-21,103.3460,Normal value (A)
2014-01-20,103.4350,Normal value (A)
2014-01-19,-,Missing value; data cannot exist (M)
2014-01-18,-,Missing value; data cannot exist (M)
2014-01-17,103.5052,Normal value (A)
2014-01-16,103.7403,Normal value (A)
2014-01-15,103.6220,Normal value (A)
2014-01-14,103.7956,Normal value (A)
2014-01-13,103.7629,Normal value (A)
2014-01-12,-,Missing value; data cannot exist (M)
2014-01-11,-,Missing value; data cannot exist (M)
2014-01-10,103.6063,Normal value (A)
2014-01-09,103.7138,Normal value (A)
2014-01-08,103.6373,Normal value (A)
2014-01-07,103.8389,Normal value (A)
2014-01-06,103.6295,Normal value (A)
2014-01-05,-,Missing value; data cannot exist (M)
2014-01-04,-,Missing value; data cannot exist (M)
2014-01-03,103.6733,Normal value (A)
2014-01-02,103.7839,Normal value (A)
2014-01-01,-,Missing value; data cannot exist (M)
2013-12-31,104.2979,Normal value (A)
2013-12-30,104.4279,Normal value (A)
2013-12-29,-,Missing value; data cannot exist (M)
2013-12-28,-,Missing value; data cannot exist (M)
2013-12-27,104.5619,Normal value (A)
2013-12-26,-,Missing value; data cannot exist (M)
2013-12-25,-,Missing value; data cannot exist (M)
2013-12-24,104.0244,Normal value (A)
2013-12-23,104.1502,Normal value (A)
2013-12-22,-,Missing value; data cannot exist (M)
2013-12-21,-,Missing value; data cannot exist (M)
2013-12-20,104.0022,Normal value (A)
2013-12-19,104.0499,Normal value (A)
2013-12-18,104.3394,Normal value (A)
2013-12-17,104.4628,Normal value (A)
2013-12-16,104.5070,Normal value (A)
2013-12-15,-,Missing value; data cannot exist (M)
2013-12-14,-,Missing value; data cannot exist (M)
2013-12-13,104.3941,Normal value (A)
2013-12-12,104.4397,Normal value (A)
2013-12-11,104.3444,Normal value (A)
2013-12-10,104.1860,Normal value (A)
2013-12-09,104.1413,Normal value (A)
2013-12-08,-,Missing value; data cannot exist (M)
2013-12-07,-,Missing value; data cannot exist (M)
2013-12-06,103.8915,Normal value (A)
2013-12-05,103.5419,Normal value (A)
2013-12-04,103.5302,Normal value (A)
2013-12-03,103.4408,Normal value (A)
2013-12-02,103.2482,Normal value (A)
2013-12-01,-,Missing value; data cannot exist (M)
2013-11-30,-,Missing value; data cannot exist (M)
2013-11-29,103.6544,Normal value (A)
2013-11-28,103.5503,Normal value (A)
2013-11-27,103.5759,Normal value (A)
2013-11-26,103.4039,Normal value (A)
2013-11-25,103.2028,Normal value (A)
2013-11-24,-,Missing value; data cannot exist (M)
2013-11-23,-,Missing value; data cannot exist (M)
2013-11-22,103.1700,Normal value (A)
2013-11-21,102.9595,Normal value (A)
2013-11-20,103.1540,Normal value (A)
2013-11-19,103.0840,Normal value (A)
2013-11-18,103.0801,Normal value (A)
2013-11-17,-,Missing value; data cannot exist (M)
2013-11-16,-,Missing value; data cannot exist (M)
2013-11-15,102.9477,Normal value (A)
2013-11-14,102.8685,Normal value (A)
2013-11-13,102.8359,Normal value (A)
2013-11-12,102.9638,Normal value (A)
2013-11-11,102.5648,Normal value (A)
2013-11-10,-,Missing value; data cannot exist (M)
2013-11-09,-,Missing value; data cannot exist (M)
2013-11-08,102.4849,Normal value (A)
2013-11-07,102.0454,Normal value (A)
2013-11-06,102.6959,Normal value (A)
2013-11-05,102.6191,Normal value (A)
2013-11-04,102.7918,Normal value (A)
2013-11-03,-,Missing value; data cannot exist (M)
2013-11-02,-,Missing value; data cannot exist (M)
2013-11-01,102.8282,Normal value (A)
2013-10-31,103.3737,Normal value (A)
2013-10-30,103.9159,Normal value (A)
2013-10-29,103.9946,Normal value (A)
2013-10-28,103.9208,Normal value (A)
2013-10-27,-,Missing value; data cannot exist (M)
2013-10-26,-,Missing value; data cannot exist (M)
2013-10-25,103.8527,Normal value (A)
2013-10-24,103.9654,Normal value (A)
2013-10-23,103.7006,Normal value (A)
2013-10-22,103.4247,Normal value (A)
2013-10-21,103.3878,Normal value (A)
2013-10-20,-,Missing value; data cannot exist (M)
2013-10-19,-,Missing value; data cannot exist (M)
